Date,000001.SS,IMOEX.ME,^BVSP,^GSPC
2024-06-21,97.89019556639435,,95.14777031106651,105.52495533486686
2024-06-24,96.74616655542756,,96.16400975464404,105.20150320755435
2024-06-25,96.31834837791386,,95.92406433046601,105.6153227902121
2024-06-26,97.05392143147468,,96.16714629613656,105.78139561898878
2024-06-27,96.1830440040529,,97.47429996314564,105.87737332432677
2024-06-28,96.8866921125617,,97.15986167852017,105.44500691522242
2024-07-01,97.77892457813438,,97.79579546612928,105.72713177242035
2024-07-02,97.85340017404476,,97.8499008068753,106.38214495980797
2024-07-03,97.3755622636468,,98.53601925836476,106.92303906204918
2024-07-04,96.56553752799212,,98.92965521567643,
2024-07-05,96.31629178969328,,99.0104211591089,107.50563759406833
2024-07-08,95.41895770993003,,99.23076319895867,107.61493846451513
2024-07-09,96.62447711443774,,99.66987900791192,107.69468887533628
2024-07-10,95.97120744606099,,99.7561338989563,108.79404329114048
2024-07-11,96.98411700105754,,100.59986356044507,107.8406779520381
2024-07-12,97.01376216226816,,101.07269719044297,108.43563789202446
2024-07-15,97.10244256519046,,101.40517058865042,108.74209897650182
2024-07-16,97.1773087534373,,101.23971802491982,109.43689307938418
2024-07-17,96.73819528325477,,101.5063240517843,107.91270601875162
2024-07-18,97.20437919373612,,100.09644865089508,107.0692167185827
2024-07-19,97.37337813507145,,100.06821977746239,106.3047140809166
2024-07-22,96.78263512561807,,100.2595488085063,107.45195834497814
2024-07-23,95.1877589318304,,99.26369688463016,107.28453717040489
2024-07-24,94.7496896983025,,99.13274627731732,104.80099736101383
2024-07-25,94.25307944193762,,98.76498678731896,104.26204563103903
2024-07-26,94.38874252304635,,99.97098699119415,105.4183605850048
2024-07-29,94.41969497289328,,99.54912216044977,105.5040984054821
2024-07-30,94.01009912356659,,98.91005183134817,104.98077994355428
2024-07-31,95.95112781145772,,100.09644865089508,106.63878325275317
2024-08-01,95.74340442990696,,99.89492586000047,105.17852475506308
2024-08-02,94.86024327206694,,98.68657325000588,103.24514774664073
2024-08-05,93.40273601163295,,98.22863819209748,100.15101472921633
2024-08-06,93.61776904976617,,99.0104211591089,101.18798693669791
2024-08-07,93.70102898761097,,99.98823796940303,100.40533349023175
2024-08-08,93.70321311618632,,100.88764124238409,102.7189345842965
2024-08-09,93.45158396750783,,102.4198417614817,103.19880425300323
2024-08-12,93.32134135147658,,102.81269358342024,103.2032453080395
2024-08-13,93.63938713989877,,103.81795513177394,104.94197021419274
